AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
lhr,psa,regno unito,8,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03292375380249178
man,fco,regno unito,5,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.032609611041155846
rmo,fco,moldavia,5,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.03214622140398002
yul,mxp,canada,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03041653457078275
amm,tsf,giordania,4,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.029834478723355828
rmf,vrn,egitto,4,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.02807677476440587
man,psa,regno unito,8,12.0,0.0,0.0,0.25,0.125,0,0,0,0,0,0.027937642699815707
lhr,trn,regno unito,1,3.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.02610822736565661
edi,cia,regno unito,5,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.024194427394054707
mji,fco,libia,5,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.023175798346080623
tun,vce,tunisia,4,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.022257237159180255
yyz,mxp,canada,2,5.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.021601830533478018
evn,mxp,armenia,2,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.02059074918143633
bhx,mxp,regno unito,2,4.0,0.25,0.3333333333333333,0.0,0.0,0,0,0,0,0,0.020051228252397718
lax,lin,stati uniti,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.019382784004323205
auh,cta,emirati arabi uniti,7,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.01295485734145462
dwc,fco,emirati arabi uniti,5,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.007420283582758332
