OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
allarmi generati,bgy,stn,2024-02-23 11:30:00,bergamo,londra,regno unito,2,1,sdi,,
voli solo visualizzati,mxp,dss,2024-01-21 21:00:00,milano,dakar,senegal,2,1,sdi,,
viaggiatori con allarmi,cia,stn,2024-01-06 13:15:00,roma,londra,regno unito,5,3,interpol,,
viaggiatori con allarmi,bds,stn,2024-02-02 08:50:00,brindisi,londra,regno unito,9,10,tsc,,
viaggiatori entrati,mxp,ist,2024-01-26 20:30:00,milano,istanbul,turchia,2,165,,,
viaggiatori investigati,psa,ruh,2024-01-14 14:01:00,pisa,riyadh,arabia saudita,8,3,,,
voli solo visualizzati,trn,stn,2024-01-15 06:35:00,torino,londra,regno unito,1,1,manuale,,
viaggiatori investigati,bgy,tia,2024-01-18 12:10:00,bergamo,tirana,albania,2,96,,,
viaggiatori entrati,vce,lhr,2024-01-01 00:00:00,venezia,londra,regno unito,4,155,tsc,,
viaggiatori con allarmi,blq,ist,2024-01-01 00:00:00,bologna,istanbul,turchia,8,9,interpol,,
voli investigati,fco,lhr,2024-02-01 07:00:00,roma,londra,regno unito,5,1,,,
viaggiatori entrati,fco,eze,2024-02-13 22:40:00,roma,buenos aires,argentina,5,201,nsis,,
viaggiatori investigati,lin,lhr,2024-01-04 06:40:00,milano,londra,regno unito,2,32,tsc,,
allarmi chiusi,vce,ist,2024-01-26 18:00:00,venezia,istanbul,turchia,4,9,manuale,,
esito negativo,fco,mle,2024-01-14 10:45:00,roma,male,maldive,5,9,tsc,,
voli con allarmi,fco,atq,2024-01-05 06:40:00,roma,amritsar,india,5,,,,
voli con allarmi,pmo,ist,2024-01-31 17:05:00,palermo,istanbul,turchia,7,1,manuale,,
voli con allarmi,psa,cmn,2024-02-06 08:50:00,pisa,casablanca,marocco,8,1,nsis,,
viaggiatori entrati,cia,stn,2024-02-12 12:10:00,roma,londra,regno unito,5,174,sdi,,
viaggiatori con allarmi,psa,man,2024-02-20 16:00:00,pisa,manchester,regno unito,8,10,interpol,,
voli disponibili,mxp,stn,2024-01-22 13:00:00,milano,londra,regno unito,2,1,sdi,,
esito negativo,nap,ltn,2024-01-12 06:30:00,napoli,londra,regno unito,6,4,nsis,,
viaggiatori con allarmi,blq,stn,2024-01-12 20:50:00,bologna,londra,regno unito,8,2,nsis,,
allarmi generati,mxp,ist,2024-01-05 08:40:00,milano,istanbul,turchia,2,11,interpol,,
allarmi generati,flr,tia,2024-01-02 00:00:00,firenze,tirana,albania,8,20,nsis,,
viaggiatori entrati,mxp,lgw,2024-02-27 09:00:00,milano,londra,regno unito,2,132,interpol,,
voli disponibili,fco,gru,2024-01-07 20:40:00,roma,san paolo,brasile,5,1,tsc,,
voli con allarmi,vce,dxb,2024-01-14 09:35:00,venezia,dubai,emirati arabi uniti,4,1,nsis,,
voli solo visualizzati,trn,lgw,2024-02-25 09:00:00,torino,londra,regno unito,1,1,tsc,,
voli con allarmi,mxp,kwi,2024-01-01 00:00:00,milano,kuwait city,kuwait,2,1,manuale,,
allarmi generati,lin,lhr,2024-02-28 15:00:00,milano,londra,regno unito,2,1,,,
viaggiatori con allarmi,bgy,cmn,2024-01-30 07:00:00,bergamo,casablanca,marocco,2,48,tsc,,
allarmi chiusi,nap,ltn,2024-02-19 09:00:00,napoli,londra,regno unito,6,4,,,
viaggiatori con allarmi,psa,tia,2024-02-26 21:50:00,pisa,tirana,albania,8,31,interpol,,
voli con allarmi,fco,ewr,2024-01-23 17:40:00,roma,newark,stati uniti,5,1,manuale,,
voli disponibili,vce,jed,2024-01-07 21:25:00,venezia,jeddah,arabia saudita,4,1,interpol,,
voli investigati,fco,lhr,2024-02-14 07:05:00,roma,londra,regno unito,5,1,manuale,,
esito negativo,blq,tia,2024-02-20 06:55:00,bologna,tirana,albania,8,10,sdi,,
viaggiatori con allarmi,cia,stn,2024-02-17 06:20:00,roma,londra,regno unito,5,2,,,
viaggiatori con allarmi,vce,skp,2024-01-27 06:40:00,venezia,skopie,macedonia,4,7,nsis,,
voli disponibili,nap,cmn,2024-02-17 08:00:00,napoli,casablanca,marocco,6,1,tsc,,
viaggiatori investigati,fco,ewr,2024-02-21 17:40:00,roma,new york,stati uniti,5,243,,,
voli con allarmi,bgy,ssh,2024-01-09 12:10:00,bergamo,sharm el sheikh,egitto,2,1,nsis,,
allarmi generati,mxp,lgw,2024-02-11 09:35:00,milano,londra,regno unito,2,2,manuale,,
voli disponibili,fco,rmo,2024-02-08 06:00:00,roma,chisinau,moldavia,5,1,tsc,,
voli disponibili,vce,dxb,2024-01-07 09:35:00,venezia,dubai,emirati arabi uniti,4,1,nsis,,
allarmi generati,psa,stn,2024-01-04 11:55:00,pisa,londra,regno unito,8,4,sdi,,
allarmi generati,fco,mex,2024-02-23 20:40:00,roma,citta del messico,messico,5,7,,,
allarmi non chiusi,fco,szx,2024-02-29 01:30:00,roma,shenzhen,cina,5,2,tsc,,
viaggiatori con allarmi,bgy,ncl,2024-02-17 09:05:00,bergamo,newcastle,regno unito,2,2,interpol,,
voli solo visualizzati,vce,stn,2024-01-01 00:00:00,venezia,londra,regno unito,4,1,tsc,,
allarmi generati,fco,gru,2024-01-25 15:45:00,roma,san paolo,brasile,5,4,,,
viaggiatori con allarmi,mxp,cai,2024-02-01 00:00:00,milano,cairo,egitto,2,22,,,
viaggiatori investigati,mxp,tlv,2024-01-14 06:45:00,milano,tel aviv yafo,israele,2,159,tsc,,
viaggiatori con allarmi,bgy,cai,2024-02-10 07:50:00,bergamo,cairo,egitto,2,48,interpol,,
voli investigati,mxp,stn,2024-01-10 08:20:00,milano,londra,regno unito,2,1,interpol,,
viaggiatori entrati,vrn,man,2024-01-27 06:15:00,verona,manchester,regno unito,4,187,tsc,,
voli solo visualizzati,bgy,rak,2024-01-25 06:15:00,bergamo,marrakech,marocco,2,1,sdi,,
viaggiatori con allarmi,fco,icn,2024-01-13 14:05:00,roma,seoul,corea del sud,5,4,tsc,,
allarmi generati,fco,dxb,2024-02-10 08:55:00,roma,dubai,emirati arabi uniti,5,16,interpol,,
voli solo visualizzati,bgy,bhx,2024-02-15 18:05:00,bergamo,birmingham,regno unito,2,1,,,
esito negativo,vce,ist,2024-01-12 08:10:00,venezia,istanbul,turchia,4,2,sdi,,
viaggiatori investigati,vce,lgw,2024-02-02 16:20:00,venezia,londra,regno unito,4,173,nsis,,
voli solo visualizzati,mxp,tlv,2024-01-07 17:00:00,milano,tel aviv yafo,israele,2,1,,,
allarmi generati,mxp,lhr,2024-01-22 07:20:00,milano,londra,regno unito,2,,manuale,,
esito negativo,mxp,yul,2024-02-08 20:30:00,milano,montreal,canada,2,3,,,
allarmi chiusi,cia,rba,2024-01-12 18:55:00,roma,rabat,marocco,5,33,interpol,,
voli disponibili,psa,lhr,2024-02-08 08:05:00,pisa,londra,regno unito,8,1,manuale,,
viaggiatori entrati,fco,brs,2024-01-31 13:45:00,roma,bristol,regno unito,5,173,manuale,,
voli disponibili,mxp,man,2024-02-10 09:10:00,milano,manchester,regno unito,2,1,nsis,,
allarmi generati,fco,dxb,2024-01-23 08:55:00,roma,dubai,emirati arabi,5,21,interpol,,
voli disponibili,mxp,lgw,2024-01-10 19:55:00,milano,londra,regno unito,2,1,tsc,,
viaggiatori investigati,bgy,saw,2024-01-06 11:10:00,bergamo,istanbul,turchia,2,158,,,
voli solo visualizzati,mxp,mct,2024-01-24 15:00:00,milano,muscat,oman,2,1,manuale,,
voli solo visualizzati,psa,stn,2024-01-01 00:00:00,pisa,londra,regno unito,8,1,interpol,,
viaggiatori con allarmi,cta,tia,2024-02-23 13:10:00,catania,tirana,albania,7,22,,,
viaggiatori entrati,flr,lcy,2024-02-02 11:25:00,firenze,londra,regno unito,8,97,nsis,,
viaggiatori investigati,fco,mle,2024-01-21 10:45:00,roma,male,maldive,5,328,manuale,,
viaggiatori entrati,bgy,stn,2024-01-24 09:35:00,bergamo,londra,regno unito,2,56,nsis,,
voli solo visualizzati,mxp,bah,2024-02-08 01:40:00,milano,manama,bahrain,2,1,,,
voli solo visualizzati,mxp,dxb,2024-01-15 09:05:00,milano,dubai,emirati arabi uniti,2,1,sdi,,
viaggiatori con allarmi,fco,cmn,2024-01-26 13:00:00,roma,casablanca,marocco,5,18,tsc,,
esito negativo,aoi,tia,2024-01-01 00:00:00,ancona,tirana,albania,8,28,manuale,,
esito negativo,fco,lgw,2024-01-06 06:55:00,roma,londra,regno unito,5,1,nsis,,
viaggiatori entrati,fco,tia,2024-02-23 16:45:00,roma,tirana,albania,5,201,sdi,,
allarmi generati,aoi,tia,2024-02-25 11:15:00,ancona,tirana,albania,8,28,interpol,,
voli solo visualizzati,vce,lhr,2024-01-19 18:15:00,venezia,londra,regno unito,4,1,,,
voli con allarmi,mxp,evn,2024-02-23 11:00:00,milano,yerevan,armenia,2,1,,,
altro,mxp,lgw,2024-02-17 19:35:00,milano,londra,regno unito,2,1,sdi,,
esito negativo,mxp,tia,2024-02-01 06:20:00,milano,tirana,albania,2,6,sdi,,
voli disponibili,blq,tia,2024-01-28 20:45:00,bologna,tirana,albania,8,1,,,
viaggiatori investigati,fco,icn,2024-01-09 14:05:00,roma,seoul,corea del sud,5,292,tsc,,
allarmi generati,mxp,doh,2024-01-05 15:30:00,milano,doha,qatar,2,16,sdi,,
viaggiatori investigati,mxp,cmn,2024-01-19 08:00:00,milano,casablanca,marocco,2,104,tsc,,
viaggiatori investigati,cia,ruh,2024-02-07 00:00:00,roma,riyadh,arabia saudita,5,,nsis,,
viaggiatori entrati,fco,cai,2024-01-24 17:55:00,roma,cairo,egitto,5,98,sdi,,
allarmi generati,mxp,jfk,2024-02-10 22:20:00,milano,new york,stati uniti,2,7,interpol,,
allarmi generati,mxp,cai,2024-01-20 12:50:00,milano,cairo,egitto,2,29,manuale,,
viaggiatori con allarmi,mxp,cai,2024-01-13 12:50:00,milano,cairo,egitto,2,29,manuale,,
voli solo visualizzati,bgy,amm,2024-01-20 12:45:00,bergamo,amman,giordania,2,1,nsis,,
voli con allarmi,nap,stn,2024-01-31 17:35:00,napoli,londra,regno unito,6,1,,,
viaggiatori con allarmi,cta,dxb,2024-02-04 07:35:00,catania,dubai,emirati arabi uniti,7,10,tsc,,
voli con allarmi,mxp,kwi,2024-02-10 08:25:00,milano,kuwait city,kuwait,2,1,,,
voli con allarmi,fco,beg,2024-02-15 06:45:00,roma,belgrado,serbia,5,1,interpol,,
viaggiatori entrati,mxp,stn,2024-01-31 00:00:00,milano,londra,regno unito,2,136,nsis,,
voli disponibili,bgy,stn,2024-02-18 12:00:00,bergamo,londra,regno unito,2,1,sdi,,
voli con allarmi,mxp,auh,2024-02-23 14:45:00,milano,abu dhabi,emirati arabi uniti,2,1,sdi,,
viaggiatori con allarmi,mxp,lhr,2024-02-18 13:50:00,milano,londra,regno unito,2,4,manuale,,
voli disponibili,trn,lgw,2024-02-09 09:50:00,torino,londra,regno unito,1,1,manuale,,
allarmi generati,fco,pvg,2024-02-01 12:35:00,roma,shanghai,cina,5,9,manuale,,
voli investigati,mxp,tia,2024-01-13 12:50:00,milano,tirana,albania,2,1,,,
voli solo visualizzati,fco,tia,2024-02-28 05:35:00,roma,tirana,albania,5,1,nsis,,
viaggiatori con allarmi,fco,lhr,2024-01-16 09:20:00,roma,londra,regno unito,5,2,tsc,,
viaggiatori entrati,lin,fab,2024-01-14 13:55:00,milano,farnborough,regno unito,2,4,,,
allarmi chiusi,bgy,stn,2024-02-09 07:15:00,bergamo,londra,regno unito,2,1,interpol,,
viaggiatori investigati,bgy,stn,2024-02-18 21:00:00,bergamo,londra,regno unito,2,164,sdi,,
voli investigati,fco,ist,2024-01-27 13:05:00,roma,istanbul,turchia,5,1,nsis,,
voli solo visualizzati,fco,lgw,2024-01-08 21:20:00,roma,londra,regno unito,5,1,interpol,,
allarmi chiusi,nap,tia,2024-01-17 10:45:00,napoli,tirana,albania,6,21,manuale,,
voli solo visualizzati,goa,stn,2024-02-02 18:05:00,genova,londra,regno unito,1,1,interpol,,
viaggiatori investigati,fco,cai,2024-01-01 17:55:00,roma,cairo,egitto,5,0,manuale,,
viaggiatori entrati,blq,saw,2024-02-24 11:30:00,bologna,istanbul,turchia,8,227,interpol,,
voli solo visualizzati,mxp,stn,2024-01-18 12:35:00,milano,londra,regno unito,2,1,,,
voli disponibili,bgy,tia,2024-02-29 06:10:00,bergamo,tirana,albania,2,1,interpol,,
voli disponibili,bgy,stn,2024-02-21 09:35:00,bergamo,londra,regno unito,2,1,,,
esito negativo,fco,ewr,2024-02-11 17:40:00,roma,new york,stati uniti,5,2,,alert manuale,
allarmi generati,fco,mru,2024-02-28 11:05:00,roma,plaisance,mauritius,5,22,interpol,,
viaggiatori entrati,mxp,jfk,2024-02-04 20:00:00,milano,new york,stati uniti,2,238,nsis,,
voli con allarmi,mxp,lhr,2024-02-01 13:40:00,milano,londra,regno unito,2,1,manuale,,
voli investigati,fco,del,2024-01-13 03:45:00,roma,nuova delhi,india,5,1,,,
voli investigati,mxp,rak,2024-01-24 10:10:00,milano,marrakech,marocco,2,1,nsis,,
allarmi generati,lin,lhr,2024-01-03 07:25:00,milano,londra,regno unito,2,2,,,
viaggiatori con allarmi,mxp,dxb,2024-01-18 00:00:00,milano,dubai,emirati arabi uniti,2,20,,,
allarmi generati,fco,dfw,2024-01-04 18:20:00,roma,dallas-fort worth,stati uniti,5,5,tsc,,
voli con allarmi,fco,cai,2024-01-03 10:00:00,roma,il cairo,egitto,5,1,nsis,,
allarmi generati,bgy,stn,2024-02-11 22:10:00,bergamo,londra,regno unito,2,6,manuale,,
voli investigati,mxp,rak,2024-01-03 16:20:00,milano,marrakech,marocco,2,1,nsis,,
voli disponibili,bgy,tia,2024-02-09 12:10:00,bergamo,tirana,albania,2,2,,,
voli con allarmi,blq,ist,2024-02-18 17:35:00,bologna,istanbul,turchia,8,1,manuale,,
voli investigati,fco,lgw,2024-02-16 09:10:00,roma,londra,regno unito,5,1,nsis,,
esito negativo,fco,szx,2024-01-07 01:30:00,roma,shenzhen,cina,5,16,,,
voli con allarmi,fco,ewr,2024-02-05 17:40:00,roma,newark,stati uniti,5,1,nsis,,
viaggiatori con allarmi,psa,stn,2024-01-19 12:45:00,pisa,londra,regno unito,8,6,tsc,,
viaggiatori entrati,fco,rak,2024-02-02 10:20:00,roma,marrakech,marocco,5,77,manuale,,
esito negativo,bgy,bhx,2024-01-03 17:55:00,bergamo,birmingham,regno unito,2,12,manuale,,
viaggiatori investigati,vce,lhr,2024-10-01 00:00:00,venezia,londra,regno unito,4,143,,,
voli investigati,vce,lhr,2024-02-04 08:50:00,venezia,londra,regno unito,4,1,sdi,,
allarmi generati,blq,saw,2024-02-05 11:30:00,bologna,istanbul,turchia,8,14,nsis,,
voli investigati,fco,man,2024-02-02 07:45:00,roma,manchester,regno unito,5,1,,,
voli investigati,fco,bah,2024-01-31 01:40:00,roma,manama,bahrain,5,1,manuale,,
voli con allarmi,fco,doh,2024-02-20 15:35:00,roma,doha,qatar,5,1,manuale,,
viaggiatori investigati,psa,tia,2024-01-30 07:10:00,pisa,tirana,albania,8,114,manuale,,
allarmi generati,cta,tia,2024-02-12 12:55:00,catania,tirana,albania,7,8,manuale,,
voli con allarmi,mxp,szx,2024-02-24 01:55:00,milano,shenzhen,cina,2,1,manuale,,
viaggiatori entrati,fco,auh,2024-01-27 02:25:00,roma,abu dhabi,emirati arabi uniti,5,392,interpol,,
voli con allarmi,fco,rak,2024-01-19 10:20:00,roma,marrakech,marocco,5,1,manuale,,
voli solo visualizzati,pmo,stn,2024-01-04 15:40:00,palermo,londra,regno unito,7,1,tsc,,
voli disponibili,mxp,ist,2024-01-02 08:40:00,milano,istanbul,turchia,2,1,sdi,,
viaggiatori entrati,fco,doh,2024-01-12 15:35:00,roma,doha,qatar,5,261,nsis,,
viaggiatori con allarmi,mxp,doh,2024-01-22 08:55:00,milano,doha,qatar,2,,interpol,,
allarmi generati,mxp,ssh,2024-01-10 19:40:00,milano,sharm el sheikh,egitto,2,18,manuale,,
voli disponibili,fco,rmo,2024-02-25 18:35:00,roma,chisinau,moldavia,5,,interpol,,
viaggiatori con allarmi,mxp,gyd,2024-02-19 07:35:00,milano,baku,azerbaigian,2,8,sdi,,
viaggiatori con allarmi,cia,stn,2024-01-08 17:25:00,roma,londra,regno unito,5,2,interpol,,
allarmi chiusi,fco,mba,2024-02-08 10:00:00,roma,mombasa,kenya,5,22,,,
viaggiatori entrati,nap,tia,2024-02-22 19:35:00,napoli,tirana,albania,6,155,,,
viaggiatori investigati,cta,tia,2024-01-12 13:10:00,catania,tirana,albania,7,142,sdi,,
esito negativo,pmf,rmo,2024-02-21 00:00:00,parma,chisinau,moldavia,8,7,nsis,,
allarmi generati,psa,lgw,2024-01-09 00:00:00,pisa,londra,regno unito,8,1,,,
allarmi generati,fco,beg,2024-01-30 06:10:00,roma,belgrado,serbia,5,3,sdi,,
voli investigati,vce,lgw,2024-02-20 09:30:00,venezia,londra,regno unito,4,1,,,
viaggiatori entrati,mxp,mct,2024-02-12 14:15:00,milano,muscat,oman,2,263,,,
viaggiatori entrati,vce,saw,2024-01-07 11:40:00,venezia,istanbul,turchia,4,184,interpol,,
voli disponibili,cia,stn,2024-02-21 08:05:00,roma,londra,regno unito,5,1,manuale,,
viaggiatori investigati,mxp,add,2024-02-03 00:15:00,milano,addis ababa,etiopia,2,283,,,medio
voli investigati,bgy,lgw,2024-02-16 13:00:00,bergamo,londra,regno unito,2,1,interpol,,
voli investigati,mxp,ewr,2024-02-11 18:05:00,milano,newark,stati uniti,2,1,,,
voli investigati,nap,lgw,2024-01-17 00:00:00,napoli,londra,regno unito,6,1,sdi,,
voli solo visualizzati,mxp,ltn,2024-02-16 17:30:00,milano,londra,regno unito,2,1,manuale,,
viaggiatori con allarmi,bgy,rak,2024-02-01 14:15:00,bergamo,marrakech,marocco,2,38,,,
viaggiatori investigati,fco,atl,2024-01-30 20:10:00,roma,atlanta,stati uniti,5,244,,,
allarmi chiusi,fco,ewr,2024-02-14 17:40:00,roma,newark,stati uniti,5,3,nsis,,alto
viaggiatori investigati,nap,lgw,2024-02-07 07:10:00,napoli,londra,regno unito,6,175,nsis,,
voli con allarmi,mxp,lgw,2024-01-07 09:35:00,milano,londra,regno unito,2,1,interpol,,
voli investigati,blq,tia,2024-01-14 20:45:00,bologna,tirana,albania,8,1,tsc,,
voli disponibili,mxp,beg,2024-01-24 18:00:00,milano,belgrado,serbia,2,1,,,
allarmi chiusi,fco,cai,2024-02-18 10:00:00,roma,cairo,egitto,5,15,manuale,,
viaggiatori con allarmi,fco,jfk,2024-01-25 21:00:00,roma,new york,stati uniti,5,4,,,
esito negativo,fco,del,2024-01-30 03:45:00,roma,nuova delhi,india,5,18,interpol,,
viaggiatori entrati,mxp,ika,2024-01-03 08:50:00,milano,tehran,iran,2,172,nsis,,
allarmi generati,tsf,tia,2024-02-21 16:05:00,treviso,tirana,albania,4,,nsis,,
voli investigati,lin,lhr,2024-01-10 12:00:00,milano,londra,regno unito,2,1,manuale,,
viaggiatori investigati,fco,bhx,2024-02-15 07:15:00,roma,birmingham,regno unito,5,186,manuale,,
allarmi generati,vrn,lgw,2024-01-13 07:25:00,verona,londra,regno unito,4,5,manuale,,
allarmi generati,bgy,cai,2024-02-11 08:50:00,bergamo,cairo,egitto,2,42,nsis,,
viaggiatori investigati,goa,stn,2024-02-17 14:05:00,genova,londra,regno unito,1,181,,,
esito negativo,cta,auh,2024-01-09 00:00:00,catania,abu dhabi,emirati arabi uniti,7,1,sdi,,
allarmi rilevanti,fco,evn,2024-01-04 14:20:00,roma,yerevan,armenia,5,1,tsc,,
voli solo visualizzati,fco,hgh,2024-02-07 00:55:00,roma,hangzhou,cina,5,1,manuale,,
allarmi chiusi,mxp,rak,2024-01-26 20:40:00,milano,marrakech,marocco,2,33,interpol,,
allarmi generati,mxp,lrm,2024-01-13 19:50:00,milano,la romana,repubblica dominicana,2,28,interpol,,
allarmi chiusi,nap,dxb,2024-02-04 07:30:00,napoli,dubai,emirati arabi uniti,6,4,,,medio
voli investigati,lin,lcy,2024-02-28 08:30:00,milano,londra,regno unito,2,1,nsis,,
voli solo visualizzati,trn,bhx,2024-01-29 18:15:00,torino,birmingham,regno unito,1,1,interpol,,
voli disponibili,bgy,ema,2024-01-12 12:05:00,bergamo,derby,regno unito,2,1,sdi,,
viaggiatori entrati,fco,ckg,2024-02-26 02:00:00,roma,chongqing,cina,5,157,tsc,,
voli con allarmi,fco,rmf,2024-02-18 13:05:00,roma,marsa alam,egitto,5,1,interpol,,
voli con allarmi,mxp,lhr,2024-02-07 11:40:00,milano,londra,regno unito,2,1,,,
voli solo visualizzati,vrn,stn,2024-01-22 06:55:00,verona,londra,regno unito,4,1,sdi,,
voli solo visualizzati,fco,pvg,2024-02-22 12:35:00,roma,shanghai,cina,5,,manuale,,
viaggiatori investigati,bgy,bfs,2024-02-12 09:00:00,bergamo,belfast,regno unito,2,,,,
voli solo visualizzati,tsf,rak,2024-01-15 06:05:00,treviso,marrakech,marocco,4,1,nsis,,
viaggiatori entrati,bri,tia,2024-01-21 20:55:00,bari,tirana,albania,9,169,sdi,,
allarmi generati,mxp,ewr,2024-01-22 21:50:00,milano,newark,stati uniti,2,1,manuale,,
viaggiatori con allarmi,bgy,rak,2024-01-07 09:30:00,bergamo,marrakech,marocco,2,,tsc,,
allarmi chiusi,cag,stn,2024-01-14 20:15:00,cagliari,londra,regno unito,5,7,,,
voli disponibili,fco,jfk,2024-02-04 18:00:00,roma,new york,stati uniti,5,1,,,
allarmi generati,mxp,lhr,2024-02-26 00:00:00,milano,londra,regno unito,2,2,sdi,,
esito negativo,trn,lgw,2024-02-08 14:10:00,torino,londra,regno unito,1,4,interpol,,
viaggiatori entrati,nap,rak,2024-01-12 16:35:00,napoli,marrakech,marocco,6,178,interpol,,
voli disponibili,mxp,rak,2024-01-05 10:50:00,milano,marrakech,marocco,2,1,nsis,,
voli solo visualizzati,bgy,stn,2024-01-13 12:00:00,bergamo,londra,regno unito,2,1,nsis,,
viaggiatori entrati,vce,lhr,2024-02-20 13:40:00,venezia,londra,regno unito,4,124,interpol,,
voli con allarmi,fco,cai,2024-01-27 10:00:00,roma,cairo,egitto,5,1,sdi,,
viaggiatori investigati,fco,icn,2024-01-02 14:05:00,roma,seoul,corea del sud,5,191,manuale,,
viaggiatori investigati,fco,ist,2024-02-01 13:05:00,roma,istanbul,turchia,5,132,tsc,,
voli solo visualizzati,fco,yyz,2024-02-03 20:00:00,roma,toronto,canada,5,1,sdi,,
allarmi chiusi,nap,ltn,2024-01-14 13:30:00,napoli,londra,regno unito,6,3,tsc,,
voli investigati,vrn,lgw,2024-02-25 10:10:00,verona,londra,regno unito,4,1,,,
viaggiatori con allarmi,vce,saw,2024-01-13 00:00:00,venezia,istanbul,turchia,4,9,,,
viaggiatori investigati,nap,ist,2024-02-24 17:55:00,napoli,istanbul,turchia,6,142,sdi,,
viaggiatori con allarmi,fco,ewr,2024-01-08 17:40:00,roma,newark,stati uniti,5,,interpol,,
voli investigati,blq,lhr,2024-02-28 14:40:00,bologna,londra,regno unito,8,1,nsis,,
allarmi generati,nap,stn,2024-02-04 09:05:00,napoli,londra,regno unito,6,9,,,
viaggiatori entrati,blq,tia,2024-01-31 09:10:00,bologna,tirana,albania,8,107,interpol,,
voli solo visualizzati,fco,atl,2024-01-09 20:10:00,roma,atlanta,stati uniti,5,1,sdi,,
voli disponibili,fco,gla,2024-01-12 06:55:00,roma,glasgow,regno unito,5,1,tsc,,
allarmi chiusi,cta,tia,2024-01-26 13:10:00,catania,tirana,albania,7,12,tsc,,
allarmi non chiusi,fco,saw,2024-02-03 15:35:00,roma,istanbul,turchia,5,1,nsis,,
allarmi generati,psa,stn,2024-02-26 17:50:00,pisa,londra,regno unito,8,5,sdi,,
altro,blq,ist,2024-01-19 09:25:00,bologna,istanbul,turchia,8,1,tsc,,
voli solo visualizzati,mxp,bhx,2024-02-19 10:45:00,milano,birmingham,regno unito,2,1,sdi,,
allarmi chiusi,pmo,stn,2024-01-14 17:00:00,palermo,londra,regno unito,7,11,manuale,,
allarmi generati,cia,stn,2024-02-19 15:50:00,roma,londra,regno unito,5,3,manuale,,
voli solo visualizzati,cia,stn,2024-02-02 18:25:00,roma,londra,regno unito,5,1,sdi,,
voli disponibili,mxp,ssh,2024-02-16 13:40:00,milano,sharm el sheikh,egitto,2,1,,,
voli con allarmi,vce,stn,2024-01-19 11:00:00,venezia,londra,regno unito,4,1,nsis,,
viaggiatori entrati,mxp,pek,2024-02-15 01:35:00,milano,pechino,cina,2,247,,,
voli con allarmi,vce,lgw,2024-01-12 16:20:00,venezia,londra,regno unito,4,1,manuale,,
viaggiatori con allarmi,vce,rmo,2024-02-24 13:20:00,venezia,chisinau,moldavia,4,,manuale,,
voli investigati,fco,man,2024-02-05 14:55:00,roma,manchester,regno unito,5,1,sdi,,
voli con allarmi,nap,stn,2024-02-01 00:00:00,napoli,londra,regno unito,6,1,interpol,,
allarmi generati,fco,saw,2024-01-14 12:30:00,roma,istanbul,turchia,5,11,interpol,,
voli investigati,cia,stn,2024-01-26 06:20:00,roma,londra,regno unito,5,1,nsis,,
voli investigati,mxp,lgw,2024-01-10 19:55:00,milano,londra,regno unito,2,1,sdi,,
voli disponibili,bgy,tia,2024-01-19 12:10:00,bergamo,tirana,albania,2,2,sdi,,
viaggiatori con allarmi,vce,ist,2024-01-06 18:00:00,venezia,istanbul,turchia,4,16,,,
voli investigati,mxp,brs,2024-02-13 09:15:00,milano,bristol,regno unito,2,1,sdi,,
voli con allarmi,cia,ema,2024-01-27 08:45:00,roma,derby,regno unito,5,1,sdi,,
voli solo visualizzati,bgy,rak,2024-01-04 06:15:00,bergamo,marrakech,marocco,2,1,,,
allarmi generati,fco,dxb,2024-02-04 00:00:00,roma,dubai,emirati arabi uniti,5,17,nsis,,
