occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
"voli solo visualizzati, ma non investigati",bgy,shj,2024,7,2024-01-06 07:10:00,orio al serio,,bergamo,sharjah,ita,are,italia,emirati arabi uniti,2,1.0,nsis,,,emirati arabi uniti,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,ist,2024,2,2024-02-13 17:55:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,1.0,sdi,,,turchia,ita,5,italia,1.0
allarmi generati da sdi/nsis,mxp,skp,2024,1,2024-01-12 19:40:00,malpensa,petrovec,milano,skopie,ita,mkd,italia,macedonia,2,18.0,manuale,,,macedonia,ita,2,italia,18.0
viaggiatori entrati nel sistema,mxp,jfk,2024,1,2024-01-18 17:00:00,malpensa,john f kennedy international,milano,new york,ita,usa,italia,stati uniti,2,95.0,sdi,,,stati uniti,ita,2,italia,95.0
viaggiatori con allarmi,mxp,doh,2024,1,2024-01-29 02:20:00,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,,nsis,,,qatar,ita,2,italia,
voli investigati (sdi/nsis - interpol - tsc),blq,lhr,2024,1,2024-01-27 08:40:00,guglielmo marconi,london heathrow,bologna,,ita,gbr,italia,regno unito,8,1.0,nsis,,,regno unito,ita,8,italia,1.0
errata segnalazione sdi,mxp,ltn,2024,2,2024-02-04 18:30:00,malpensa,london luton,milano,londra,ita,gbr,italia,regno unito,2,1.0,tsc,,medio,regno unito,ita,2,italia,1.0
viaggiatori con allarmi,blq,tia,2024,2,2024-02-26 11:15:00,guglielmo marconi,rinas mother teresa,bologna,tirana,ita,alb,italia,albania,8,39.0,sdi,,,albania,ita,8,italia,39.0
viaggiatori investigati,fco,beg,2024,1,2024-01-02 07:15:00,fiumicino,nikola tesla,roma,belgrado,gb,srb,italia,serbia,5,157.0,sdi,,,serbia,ita,5,italia,157.0
voli con allarmi,blq,tun,2024,2,2024-02-03 09:00:00,guglielmo marconi,carthage,bologna,tunis,ita,tun,italia,tunisia,8,1.0,sdi,,,tunisia,ita,8,italia,1.0
voli con allarmi,vrn,bhx,2024,2,2024-02-10 06:00:00,verona villafranca,birmingham international,verona,birmingham,ita,gbr,italia,regno unito,4,1.0,nsis,,,regno unito,ita,4,italia,1.0
viaggiatori con allarmi,cta,ist,2024,1,2024-01-15 07:55:00,fontanarossa,havalimani,catania,,gbr,tur,italia,turchia,7,3.0,manuale,,,turchia,ita,7,italia,3.0
"voli solo visualizzati, ma non investigati",bgy,edi,2024,2,2024-02-27 17:30:00,orio al serio,edinburgh,bergamo,edinburgh,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
allarmi chiusi,mxp,add,2024,2,2024-02-09 00:05:00,malpensa,bole international,milano,addis ababa,ita,eth,italia,etiopia,2,52.0,,,,etiopia,ita,2,italia,52.0
allarmi generati da sdi/nsis,mxp,doh,2024,1,2024-01-09 15:30:00,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,20.0,,,,qatar,ita,2,italia,20.0
viaggiatori con allarmi,mxp,auh,2024,1,2024-01-10 03:10:00,malpensa,abu dhabi international,milano,abu dhabi,ita,are,italia,//,2,30.0,nsis,,,emirati arabi uniti,ita,2,italia,30.0
allarmi generati da bcs,vce,brs,2024,2,2024-02-21 19:25:00,venezia marco polo,bristol,venezia,bristol,ita,gbr,italia,regno unito,4,4.0,tsc,,,regno unito,ita,4,italia,4.0
voli con allarmi,vce,cmn,2024,2,2024-02-17 07:50:00,venezia marco polo,mohamed v,venezia,casablanca,ita,mar,italia,marocco,4,1.0,,,,marocco,ita,4,italia,1.0
viaggiatori con allarmi,mxp,tpe,2024,1,2024-01-27 23:05:00,malpensa,taiwan taoyuan international,milano,taipei,ita,twn,italia,taiwan,2,8.0,tsc,,,taiwan,ita,2,italia,8.0
viaggiatori con allarmi,vce,lhr,2024,1,2024-01-31 17:00:00,venezia marco polo,london heathrow,venezia,londra,ita,gbr,italia,regno unito,4,3.0,nsis,,,regno unito,ita,4,italia,3.0
allarmi rilevanti,mxp,mct,2024,2,2024-02-08 14:15:00,malpensa,seeb,milano,muscat,ita,omn,italia,oman,2,4.0,manuale,,medio,oman,ita,2,italia,4.0
voli disponibili in ingresso al sistema,mxp,ist,2024,2,2024-02-03 08:40:00,malpensa,havalimani,milano,,ita,tr,italia,turchia,2,1.0,manuale,,,turchia,ita,2,italia,1.0
viaggiatori con allarmi,fco,bey,2024,2,2024-02-09 06:10:00,fiumicino,beirut-rafic hariri international,roma,,ita,lbn,italia,libano,5,7.0,interpol,,,libano,ita,5,italia,7.0
voli investigati (sdi/nsis - interpol - tsc),fco,eze,2024,2,2024-02-13 13:45:00,fiumicino,ezeiza ministro pistarini,roma,buenos aires,ita,arg,italia,argentina,5,1.0,tsc,,,argentina,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,pvg,2024,1,2024-01-18 01:45:00,malpensa,pu dong,milano,shanghai,ita,chn,italia,cina,2,1.0,interpol,,,cina,ita,2,italia,1.0
voli disponibili in ingresso al sistema,psa,tia,2024,1,2024-01-23 15:15:00,galileo galilei,rinas mother teresa,pisa,,ita,alb,italia,albania,8,1.0,nsis,,,albania,ita,8,italia,1.0
allarmi generati da sdi/nsis,mxp,evn,2023,2,2024-02-03 22:50:00,malpensa,zvartnots,milano,yerevan,ita,arm,italia,armenia,2,5.0,,,,armenia,ita,2,italia,5.0
nulla a procedere sdi,fco,lhr,2024,1,2024-01-30 12:50:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,3.0,tsc,,,regno unito,ita,5,italia,3.0
"voli solo visualizzati, ma non investigati",fco,doh,2024,1,2024-01-15 09:15:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,1.0,sdi,,,qatar,ita,5,italia,1.0
viaggiatori investigati,fco,lgw,2024,1,2024-01-04 20:10:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,174.0,manuale,,,regno unito,ita,5,italia,174.0
voli investigati (sdi/nsis - interpol - tsc),fco,beg,2024,2,2024-02-24 06:10:00,fiumicino,nikola tesla,roma,belgrado,tur,srb,italia,serbia,5,1.0,nsis,,,serbia,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",lin,ltn,2024,2,2024-02-08 07:00:00,linate,london luton,milano,londra,ita,gbr,italia,regno unito,2,1.0,interpol,,,regno unito,ita,2,italia,1.0
viaggiatori con allarmi,mxp,kwi,2023,2,,malpensa,kuwait international,milano,kuwait city,ita,kwt,italia,kuwait,2,8.0,nsis,,,kuwait,ita,2,italia,8.0
viaggiatori entrati nel sistema,cia,stn,2024,1,2024-01-12 06:20:00,ciampino,stansted,roma,,ita,gbr,italia,regno unito,5,178.0,sdi,,,regno unito,ita,5,italia,178.0
viaggiatori entrati nel sistema,fco,spx,2024,2,2024-02-23 11:05:00,fiumicino,sphinx international,roma,giza,ita,egy,italia,egitto,5,212.0,,,,egitto,ita,5,italia,212.0
viaggiatori entrati nel sistema,mxp,lhr,2024,1,2024-01-06 09:20:00,malpensa,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,,tsc,,,regno unito,ita,2,italia,
"voli solo visualizzati, ma non investigati",mxp,lhr,2024,1,2024-01-18 07:35:00,malpensa,london heathrow,milano,londra,fra,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
voli con allarmi,fco,saw,2024,1,2024-01-22 15:35:00,fiumicino,sabiha gokcen,roma,istanbul,ita,tur,italia,turchia,5,-1.0,interpol,,,turchia,ita,5,italia,1.0
viaggiatori entrati nel sistema,blq,rmo,2024,1,2024-01-19 17:00:00,guglielmo marconi,chisinau international airport,bologna,chisinau,ita,mda,italia,moldavia,8,142.0,interpol,,,moldavia,ita,8,italia,142.0
allarmi generati da interpol,mxp,dxb,2024,11,2024-01-27 15:55:00,malpensa,dubai international,milano,dubai,ita,are,italia,emirati arabi uniti,2,1.0,nsis,,,emirati arabi uniti,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",fco,mle,2024,2,2024-02-19 13:25:00,fiumicino,male international,roma,male,ita,mdv,italia,maldive,5,1.0,,,,maldive,ita,5,italia,1.0
viaggiatori entrati nel sistema,cia,ema,2024,1,2024-01-06 08:45:00,ciampino,east midlands,roma,derby,ita,gbr,italia,regno unito,5,134.0,manuale,,,regno unito,ita,5,italia,134.0
voli disponibili in ingresso al sistema,bgy,tbs,2024,1,2024-01-19 11:45:00,orio al serio,,bergamo,tbilisi,ita,geo,italia,georgia,2,1.0,,,,georgia,ita,2,italia,1.0
viaggiatori investigati,lin,beg,2024,2,2024-02-15 10:00:00,linate,nikola tesla,milano,belgrado,ita,srb,italia,serbia,2,6.0,nsis,,,serbia,ita,2,italia,6.0
viaggiatori entrati nel sistema,fco,cai,2024,1,2024-01-10 04:30:00,fiumicino,cairo international,roma,?,ita,egy,italia,egitto,5,136.0,interpol,,,egitto,ita,5,italia,136.0
nulla a procedere sdi,nap,stn,2024,2,2024-02-02 17:20:00,napoli capodichino,stansted,napoli,londra,ita,gbr,italia,regno unito,6,5.0,,,,regno unito,ita,6,italia,5.0
"voli solo visualizzati, ma non investigati",trn,lgw,2024,2,2024-02-16 14:50:00,sandro pertini,london gatwick,torino,londra,ita,,italia,regno unito,1,1.0,tsc,,,regno unito,ita,1,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,del,2024,1,2024-01-19 03:45:00,fiumicino,indira gandhi international,roma,nuova delhi,ita,ind,italia,//,5,1.0,tsc,,,india,ita,5,italia,1.0
viaggiatori entrati nel sistema,nap,man,2024,2,2024-02-26 08:50:00,napoli capodichino,manchester,napoli,,ita,gbr,italia,regno unito,6,159.0,manuale,,,regno unito,ita,6,italia,159.0
viaggiatori entrati nel sistema,trn,ncl,2024,1,2024-01-07 06:00:00,sandro pertini,newcastle,torino,newcastle,ita,gbr,italia,regno unito,1,183.0,,,,regno unito,ita,1,italia,183.0
"voli solo visualizzati, ma non investigati",fco,kut,2024,2,2024-02-17 06:00:00,fiumicino,kopitnari,roma,kutaisi,ita,geo,italia,georgia,5,1.0,,,,georgia,ita,5,italia,1.0
voli con allarmi,mxp,add,2024,2,2024-02-09 00:05:00,malpensa,bole international,milano,addis ababa,ita,eth,italia,etiopia,2,1.0,manuale,,,etiopia,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",cia,beg,2023,2,2024-02-05 13:06:00,ciampino,//,roma,belgrado,ita,srb,italia,serbia,5,1.0,manuale,,,serbia,ita,5,italia,1.0
nulla a procedere sdi,bgy,tia,2024,2,2024-02-07 16:00:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,18.0,tsc,,,albania,ita,2,italia,18.0
viaggiatori con allarmi,bgy,amm,2024,2,2024-02-24 12:45:00,orio al serio,queen alia international,bergamo,amman,ita,jor,italia,giordania,2,7.0,,,,giordania,ita,2,italia,7.0
voli disponibili in ingresso al sistema,fco,amm,2024,1,2024-01-06 07:15:00,fiumicino,queen alia international,roma,,ita,jor,italia,giordania,5,1.0,sdi,,,giordania,ita,5,italia,1.0
viaggiatori entrati nel sistema,vce,ist,2024,2,2024-02-20 08:10:00,venezia marco polo,havalimani,venezia,istanbul,ita,tur,italia,turchia,4,172.0,sdi,,,turchia,ita,4,italia,172.0
viaggiatori investigati,psa,tia,2024,2,2024-02-15 06:50:00,galileo galilei,,pisa,tirana,ita,al,italia,albania,8,182.0,,,,albania,ita,8,italia,182.0
voli investigati (sdi/nsis - interpol - tsc),psa,stn,2024,2,2024-02-17 18:25:00,galileo galilei,stansted,pisa,londra,ita,gbr,italia,regno unito,8,1.0,interpol,,,regno unito,ita,8,italia,1.0
voli con allarmi,mxp,tia,2024,2,2024-02-02 12:50:00,malpensa,rinas mother teresa,milano,//,ita,alb,italia,albania,2,1.0,,,,albania,ita,2,italia,1.0
nulla a procedere sdi,nap,stn,2024,2,2024-02-09 17:20:00,napoli capodichino,stansted,napoli,londra,ita,gbr,italia,regno unito,6,3.0,interpol,,,regno unito,ita,6,italia,3.0
voli investigati (sdi/nsis - interpol - tsc),vce,brs,2024,1,2024-01-01 13:40:00,venezia marco polo,bristol,venezia,bristol,ita,gbr,italia,regno unito,4,1.0,sdi,,,regno unito,ita,4,italia,1.0
viaggiatori entrati nel sistema,blq,rak,2024,1,2024-01-05 06:45:00,guglielmo marconi,menara,bologna,marrakech,ita,mar,italia,marocco,8,133.0,interpol,,,marocco,ita,8,italia,133.0
allarmi generati da sdi/nsis,fco,ewr,2024,2,2024-02-06 17:40:00,fiumicino,newark liberty international,roma,newark,ita,usa,italia,stati uniti,5,4.0,nsis,,,stati uniti,ita,5,italia,4.0
viaggiatori investigati,cta,dxb,2024,,2024-01-03 07:35:00,fontanarossa,dubai international,catania,dubai,ita,are,italia,emirati arabi uniti,7,108.0,interpol,,,emirati arabi uniti,ita,7,italia,108.0
voli disponibili in ingresso al sistema,blq,lhr,2024,2,2024-02-20 14:40:00,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,1.0,,,,regno unito,ita,8,italia,1.0
viaggiatori con allarmi,nap,stn,2024,2,2024-02-08 09:25:00,napoli capodichino,stansted,napoli,londra,ita,gbr,italia,regno unito,6,5.0,interpol,,,regno unito,ita,6,italia,5.0
viaggiatori investigati,fco,ist,2024,2,2024-02-25 09:15:00,fiumicino,havalimani,roma,,ita,tur,italia,turchia,5,263.0,,,,turchia,ita,5,italia,263.0
viaggiatori con allarmi,vce,stn,2024,2,2024-02-03 11:35:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,2.0,sdi,,,regno unito,ita,4,italia,2.0
nulla a procedere sdi,fco,lgw,2024,2,2024-02-28 06:45:00,fiumicino,london gatwick,roma,,ita,gbr,italia,regno unito,5,3.0,,,,regno unito,ita,5,italia,3.0
allarmi chiusi,mxp,ist,2024,,2024-01-08 20:30:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,8.0,,,,turchia,ita,2,italia,8.0
viaggiatori investigati,lin,lcy,2024,1,2024-01-18 08:30:00,linate,london city,milano,londra,ita,gbr,italia,regno unito,2,51.0,sdi,,,regno unito,ita,2,italia,51.0
voli con allarmi,mxp,ist,2024,2,2024-02-27 15:50:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,1.0,nsis,,,turchia,ita,2,italia,1.0
allarmi rilevanti,fco,tun,2024,2,2024-02-02 08:00:00,fiumicino,carthage,roma,tunis,ita,tun,italia,tunisia,5,,,,,tunisia,ita,5,italia,
viaggiatori entrati nel sistema,mxp,ewr,2024,2,2024-02-04 18:05:00,malpensa,newark liberty international,milano,newark,ita,usa,italia,?,2,218.0,,,,stati uniti,ita,2,italia,218.0
errata segnalazione sdi,fco,dxb,2024,2,2024-02-10 15:05:00,fiumicino,dubai international,roma,dubai,ita,are,italia,emirati arabi uniti,5,1.0,sdi,,,emirati arabi uniti,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),vce,brs,2024,1,2024-01-19 14:50:00,venezia marco polo,bristol,venezia,bristol,ita,,italia,regno unito,4,1.0,,,,regno unito,ita,4,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),vrn,lgw,2024,2,2024-02-18 10:10:00,verona villafranca,london gatwick,verona,londra,ita,gbr,italia,regno unito,4,1.0,nsis,,,regno unito,ita,4,italia,1.0
viaggiatori con allarmi,mxp,rmo,2024,2,2024-02-16 17:20:00,malpensa,chisinau international airport,milano,chisinau,ita,mda,italia,moldavia,2,9.0,sdi,,,moldavia,ita,2,italia,9.0
voli investigati (sdi/nsis - interpol - tsc),cia,ema,2024,1,2024-01-30 17:50:00,ciampino,,roma,derby,ita,gbr,italia,regno unito,5,1.0,,,,regno unito,ita,5,italia,1.0
viaggiatori investigati,fco,ist,2024,1,2024-01-02 21:10:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,137.0,manuale,,,turchia,ita,5,italia,137.0
voli investigati (sdi/nsis - interpol - tsc),goa,stn,2024,2,2024-02-24 14:05:00,cristoforo colombo,stansted,genova,londra,ita,gbr,italia,regno unito,1,1.0,manuale,,,regno unito,ita,1,italia,1.0
allarmi generati da sdi/nsis,fco,lhr,2024,2,2024-02-04 07:00:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,1.0,nsis,,,regno unito,ita,5,italia,1.0
nulla a procedere sdi,lin,lcy,2024,6,2024-02-13 08:30:00,linate,?,milano,londra,ita,gbr,italia,regno unito,2,1.0,interpol,,,regno unito,ita,2,italia,1.0
viaggiatori con allarmi,trn,stn,2024,2,,sandro pertini,stansted,torino,londra,ita,gbr,italia,regno unito,1,2.0,interpol,,,regno unito,ita,1,italia,2.0
"voli solo visualizzati, ma non investigati",fco,rmo,2024,2,2024-02-22 17:10:00,fiumicino,chisinau international airport,roma,chisinau,ita,mda,italia,moldavia,5,1.0,manuale,,,moldavia,ita,5,italia,1.0
voli disponibili in ingresso al sistema,vce,man,2024,1,2024-01-20 17:05:00,venezia marco polo,manchester,venezia,manchester,ita,gbr,italia,regno unito,4,1.0,tsc,,,regno unito,ita,4,italia,1.0
voli disponibili in ingresso al sistema,bgy,stn,2024,1,2024-01-07 12:00:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,trn,lgw,2024,2,2024-02-11 14:40:00,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,178.0,interpol,,,regno unito,ita,1,italia,178.0
allarmi chiusi,fco,cai,2023,1,,fiumicino,,roma,cairo,ita,egy,italia,egitto,5,5.0,interpol,,,egitto,ita,5,italia,5.0
"voli solo visualizzati, ma non investigati",mxp,dxb,2024,1,2024-01-28 09:05:00,malpensa,dubai international,milano,dubai,ita,are,italia,emirati arabi uniti,2,1.0,interpol,,,emirati arabi uniti,ita,2,italia,1.0
voli disponibili in ingresso al sistema,blq,rmo,2024,2,,guglielmo marconi,chisinau international airport,bologna,chisinau,ita,mda,italia,moldavia,8,1.0,sdi,,,moldavia,ita,8,italia,1.0
voli con allarmi,mxp,gyd,2024,2,2024-02-19 07:35:00,malpensa,heydar aliyev international,milano,baku,ita,aze,italia,azerbaigian,2,1.0,nsis,,,azerbaigian,ita,2,italia,1.0
nulla a procedere sdi,fco,gru,2024,1,2024-01-10 15:45:00,fiumicino,sao paulo/guarulhos-governador andre franco montoro international,roma,san paolo,ita,bra,italia,brasile,5,4.0,,,,brasile,ita,5,italia,4.0
viaggiatori entrati nel sistema,mxp,rak,2024,1,2024-01-18 20:05:00,malpensa,menara,milano,marrakech,ita,mar,italia,,2,170.0,sdi,,,marocco,ita,2,italia,170.0
nulla a procedere sdi,fco,alg,2024,1,2024-01-15 17:55:00,fiumicino,houari boumediene,roma,algeri,ita,dza,italia,algeria,5,10.0,tsc,,,algeria,ita,5,italia,10.0
voli investigati (sdi/nsis - interpol - tsc),vce,lgw,2024,2,2024-02-09 16:20:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,1.0,,,,regno unito,ita,4,italia,1.0
voli disponibili in ingresso al sistema,nap,stn,2024,1,2024-01-04 09:25:00,napoli capodichino,stansted,napoli,londra,ita,gbr,italia,regno unito,6,1.0,interpol,,,regno unito,ita,6,italia,1.0
viaggiatori con allarmi,mxp,hkg,2023,7,2024-02-18 00:50:00,malpensa,hong kong international,milano,hong kong,ita,hkg,italia,hong kong,2,10.0,tsc,,,hong kong,ita,2,italia,10.0
allarmi generati da sdi/nsis,mxp,jfk,2024,2,,malpensa,john f kennedy international,milano,new york,ita,usa,italia,stati uniti,2,7.0,nsis,,,stati uniti,ita,2,italia,7.0
allarmi rilevanti,fco,ssh,2024,1,2024-01-23 21:20:00,fiumicino,sharm el-sheikh international,roma,sharm el sheikh,ita,egy,italia,egitto,5,1.0,sdi,,,egitto,ita,5,italia,1.0
viaggiatori con allarmi,vce,lgw,2023,2,2024-02-26 09:00:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,4.0,sdi,,,regno unito,ita,4,italia,4.0
allarmi generati da sdi/nsis,fco,cai,2024,2,2024-02-07 10:00:00,fiumicino,cairo international,roma,cairo,ita,egy,italia,egitto,5,13.0,tsc,,,egitto,ita,5,italia,13.0
voli con allarmi,mxp,stn,2024,1,2024-01-12 19:25:00,malpensa,stansted,milano,londra,ita,gbr,italia,regno unito,2,1.0,manuale,,,regno unito,ita,2,italia,1.0
allarmi generati da sdi/nsis,psa,rak,2024,2,2024-02-24 19:35:00,galileo galilei,menara,pisa,marrakech,ita,mar,italia,marocco,8,33.0,nsis,,,marocco,ita,8,italia,33.0
voli con allarmi,mxp,evn,,1,2024-01-23 22:25:00,malpensa,zvartnots,milano,yerevan,ita,arm,italia,//,2,1.0,interpol,,,armenia,ita,2,italia,1.0
viaggiatori con allarmi,mxp,rmf,2024,1,2024-01-04 13:25:00,malpensa,marsa alam international,milano,,ita,,italia,egitto,2,5.0,sdi,,,egitto,ita,2,italia,5.0
voli con allarmi,bgy,tia,2024,2,2024-02-09 13:20:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,,italia,albania,2,1.0,nsis,,,albania,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",cta,tia,2024,1,2024-01-24 19:50:00,fontanarossa,?,catania,tirana,ita,alb,italia,albania,7,1.0,sdi,passeggero noto,,albania,ita,7,italia,1.0
voli con allarmi,nap,tia,2024,1,2024-01-10 10:30:00,napoli capodichino,rinas mother teresa,napoli,tirana,ita,alb,italia,albania,6,1.0,manuale,,,albania,ita,6,italia,1.0
voli con allarmi,vrn,tia,2024,1,2024-01-25 13:20:00,verona villafranca,rinas mother teresa,verona,tirana,ita,alb,italia,,4,1.0,,,,albania,ita,4,italia,1.0
allarmi generati da sdi/nsis,mxp,tlv,2024,1,2024-01-21 17:10:00,malpensa,ben gurion international,milano,tel aviv yafo,ita,isr,italia,israele,2,3.0,tsc,,,israele,ita,2,italia,3.0
viaggiatori entrati nel sistema,fco,kwi,2024,2,2024-02-04 07:55:00,fiumicino,kuwait international,roma,kuwait city,ita,kwt,italia,kuwait,5,113.0,tsc,,,kuwait,ita,5,italia,113.0
"voli solo visualizzati, ma non investigati",nap,ist,2024,1,2024-01-29 17:55:00,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,1.0,,,,turchia,ita,6,italia,1.0
viaggiatori investigati,fco,lgw,2024,1,2024-01-03 13:55:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,177.0,nsis,,,regno unito,ita,5,italia,177.0
nulla a procedere sdi,mxp,jed,2024,2,2024-02-23 21:10:00,malpensa,king abdulaziz international,milano,jeddah,ita,sau,italia,arabia saudita,2,19.0,nsis,,,arabia saudita,ita,2,italia,19.0
viaggiatori con allarmi,nap,dxb,2024,1,2024-01-15 07:30:00,napoli capodichino,dubai international,napoli,dubai,ita,are,italia,emirati arabi uniti,6,11.0,sdi,,,emirati arabi uniti,ita,6,italia,11.0
allarmi generati da sdi/nsis,bgy,rak,2024,2,2024-02-07 06:10:00,orio al serio,menara,bergamo,marrakech,ita,mar,italia,marocco,2,33.0,tsc,,,marocco,ita,2,italia,33.0
voli disponibili in ingresso al sistema,psa,dxb,2024,2,,galileo galilei,dubai international,pisa,dubai,ita,are,italia,emirati arabi uniti,8,,nsis,,,emirati arabi uniti,ita,8,italia,1.0
viaggiatori investigati,mxp,man,2024,2,2024-02-02 07:45:00,malpensa,manchester,milano,manchester,ita,gbr,italia,regno unito,2,180.0,tsc,,,regno unito,ita,2,italia,180.0
viaggiatori entrati nel sistema,mxp,add,2024,1,2024-01-13 00:15:00,malpensa,bole international,milano,addis ababa,ita,eth,italia,,2,340.0,manuale,,,etiopia,ita,2,italia,340.0
allarmi generati da sdi/nsis,fco,dwc,2024,1,2024-01-13 10:30:00,fiumicino,al maktoum international,roma,,ita,are,italia,emirati arabi uniti,5,12.0,manuale,,,emirati arabi uniti,ita,5,italia,12.0
allarmi generati da sdi/nsis,mxp,cai,2024,1,2024-01-04 12:50:00,malpensa,cairo international,milano,,ita,egy,italia,egitto,2,9.0,,,,egitto,ita,2,italia,9.0
allarmi generati da sdi/nsis,mxp,ewr,2024,1,2024-01-21 21:50:00,malpensa,newark liberty international,milano,newark,ita,usa,italia,stati uniti,2,3.0,manuale,verifica richiesta,,stati uniti,ita,2,italia,3.0
viaggiatori con allarmi,lin,lhr,2024,1,2024-01-01 15:00:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,7.0,interpol,,,regno unito,ita,2,italia,7.0
viaggiatori entrati nel sistema,mxp,lhr,2024,2,2024-02-14 09:20:00,malpensa,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,,interpol,,,regno unito,ita,2,italia,137.0
"voli solo visualizzati, ma non investigati",mxp,doh,2024,,2024-02-16 08:55:00,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,1.0,manuale,,,qatar,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,lhr,2024,2,2024-02-15 08:55:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,150.0,interpol,,,regno unito,ita,5,italia,150.0
allarmi chiusi,fco,dxb,2024,2,2024-02-13 08:55:00,fiumicino,dubai international,roma,dubai,ita,are,italia,emirati arabi uniti,5,13.0,sdi,,,emirati arabi uniti,ita,5,italia,13.0
voli investigati (sdi/nsis - interpol - tsc),vce,tia,2024,2,2024-02-15 21:20:00,venezia marco polo,rinas mother teresa,venezia,tirana,ita,alb,italia,albania,4,1.0,nsis,,,albania,ita,4,italia,1.0
allarmi chiusi,psa,man,2024,,2024-02-13 16:00:00,galileo galilei,manchester,pisa,manchester,ita,gbr,italia,regno unito,8,11.0,sdi,,,regno unito,ita,8,italia,11.0
